"Date","Price","Open","High","Low","Vol.","Change %"
"10/02/2025","44,936.73","44,736.03","45,125.96","44,659.22","131.10M","0.87%"
"10/01/2025","44,550.85","44,831.95","44,874.42","44,357.65","136.70M","-0.85%"
"09/30/2025","44,932.63","45,054.96","45,126.23","44,733.60","160.60M","-0.25%"
"09/29/2025","45,043.75","45,113.29","45,152.70","44,890.20","130.50M","-0.69%"
"09/26/2025","45,354.99","45,634.20","45,766.77","45,354.99","147.50M","-0.87%"
"09/25/2025","45,754.93","45,600.07","45,824.69","45,503.31","127.20M","0.27%"
"09/24/2025","45,630.31","45,484.41","45,693.28","45,205.47","131.70M","0.30%"
"09/22/2025","45,493.66","45,193.77","45,757.74","45,193.77","116.60M","0.99%"
"09/19/2025","45,045.81","45,634.29","45,852.75","44,495.46","208.60M","-0.57%"
"09/18/2025","45,303.43","44,910.50","45,508.67","44,815.40","113.70M","1.15%"
"09/17/2025","44,790.38","44,751.84","45,033.34","44,612.07","104.60M","-0.25%"
"09/16/2025","44,902.27","44,948.85","45,055.38","44,616.32","111.70M","0.30%"
"09/12/2025","44,768.12","44,803.30","44,888.02","44,548.57","124.90M","0.89%"
"09/11/2025","44,372.50","43,876.22","44,396.95","43,870.54","107.30M","1.22%"
"09/10/2025","43,837.67","43,513.16","43,848.77","43,509.02","115.70M","0.87%"
"09/09/2025","43,459.29","43,907.55","44,185.73","43,452.74","117.50M","-0.42%"
"09/08/2025","43,643.81","43,451.07","43,838.60","43,343.58","115.50M","1.45%"
"09/05/2025","43,018.75","42,983.47","43,220.94","42,783.54","118.30M","1.03%"
"09/04/2025","42,580.27","42,093.70","42,608.80","42,066.59","110.30M","1.53%"
"09/03/2025","41,938.89","42,085.66","42,293.54","41,863.20","130.20M","-0.88%"
"09/02/2025","42,310.49","42,299.63","42,473.67","42,084.78","99.80M","0.29%"
"09/01/2025","42,188.79","42,362.71","42,454.99","41,835.17","96.60M","-1.24%"
"08/29/2025","42,718.47","42,774.29","42,807.03","42,611.31","114.90M","-0.26%"
"08/28/2025","42,828.79","42,308.14","42,828.79","42,299.79","112.70M","0.73%"
"08/27/2025","42,520.27","42,476.09","42,628.04","42,270.18","108.40M","0.30%"
"08/26/2025","42,394.40","42,619.66","42,703.27","42,137.62","162.60M","-0.97%"
"08/25/2025","42,807.82","42,977.27","43,201.42","42,681.37","102.20M","0.41%"
"08/22/2025","42,633.29","42,629.81","42,720.57","42,331.39","97.80M","0.05%"
"08/21/2025","42,610.17","42,783.26","42,926.11","42,564.30","103.10M","-0.65%"
"08/20/2025","42,888.55","43,400.66","43,425.78","42,724.15","116.70M","-1.51%"
"08/19/2025","43,546.29","43,846.55","43,876.42","43,411.97","117.10M","-0.38%"
"08/18/2025","43,714.31","43,452.90","43,835.12","43,390.22","124.20M","0.77%"
"08/15/2025","43,378.31","42,866.38","43,405.43","42,736.86","134.50M","1.71%"
"08/14/2025","42,649.26","43,129.18","43,199.83","42,606.73","127.80M","-1.45%"
"08/13/2025","43,274.67","43,090.91","43,451.46","43,008.20","154.10M","1.30%"
"08/12/2025","42,718.17","42,098.32","42,999.71","42,083.58","176.10M","2.15%"
"08/08/2025","41,820.48","41,283.70","42,033.92","41,248.05","183.30M","1.85%"
"08/07/2025","41,059.15","40,668.19","41,164.11","40,668.19","154.00M","0.65%"
"08/06/2025","40,794.86","40,430.46","40,850.89","40,423.13","145.50M","0.60%"
"08/05/2025","40,549.54","40,521.00","40,649.38","40,421.88","145.30M","0.64%"
"08/04/2025","40,290.70","40,118.81","40,332.25","39,850.52","130.80M","-1.25%"
"08/01/2025","40,799.60","41,029.84","41,064.73","40,588.17","148.40M","-0.66%"
"07/31/2025","41,069.82","40,693.00","41,151.25","40,639.32","134.80M","1.02%"
"07/30/2025","40,654.70","40,744.53","40,744.53","40,556.61","123.70M","-0.05%"
"07/29/2025","40,674.55","40,767.77","40,792.85","40,563.53","101.00M","-0.79%"
"07/28/2025","40,998.27","41,515.91","41,534.21","40,997.87","106.50M","-1.10%"
"07/25/2025","41,456.23","41,760.58","41,773.70","41,389.79","117.50M","-0.88%"
"07/24/2025","41,826.34","41,657.98","42,065.83","41,554.18","149.40M","1.59%"
"07/23/2025","41,171.32","40,189.18","41,342.59","40,087.86","221.10M","3.51%"
"07/22/2025","39,774.92","39,864.63","40,275.89","39,586.53","112.10M","-0.11%"
"07/18/2025","39,819.11","40,072.39","40,087.59","39,745.42","92.00M","-0.21%"
"07/17/2025","39,901.19","39,492.02","39,910.96","39,370.43","101.50M","0.60%"
"07/16/2025","39,663.40","39,734.74","39,923.61","39,520.96","96.40M","-0.04%"
"07/15/2025","39,678.02","39,525.83","39,678.02","39,379.32","98.80M","0.55%"
"07/14/2025","39,459.62","39,416.10","39,608.02","39,288.90","91.50M","-0.28%"
"07/11/2025","39,569.68","39,886.54","39,957.80","39,497.70","115.90M","-0.19%"
"07/10/2025","39,646.36","39,795.75","39,795.75","39,530.95","129.30M","-0.44%"
"07/09/2025","39,821.28","39,942.80","39,971.06","39,573.34","129.00M","0.33%"
"07/08/2025","39,688.81","39,542.07","39,816.27","39,510.48","136.60M","0.26%"
"07/07/2025","39,587.68","39,729.56","39,829.38","39,524.25","93.40M","-0.56%"
"07/04/2025","39,810.88","39,994.64","40,012.66","39,693.40","96.60M","0.06%"
"07/03/2025","39,785.90","39,796.75","39,865.89","39,667.82","135.40M","0.06%"
"07/02/2025","39,762.48","39,631.17","39,943.62","39,444.70","127.60M","-0.56%"
"07/01/2025","39,986.33","40,340.64","40,345.87","39,885.38","124.00M","-1.24%"
"06/30/2025","40,487.39","40,550.79","40,852.54","40,322.54","143.90M","0.84%"
"06/27/2025","40,150.79","39,866.36","40,267.84","39,847.31","156.10M","1.43%"
"06/26/2025","39,584.58","39,072.14","39,615.59","39,056.14","123.60M","1.65%"
"06/25/2025","38,942.07","38,904.18","38,944.77","38,711.11","102.90M","0.39%"
"06/24/2025","38,790.56","38,779.18","38,990.11","38,665.61","100.80M","1.14%"
"06/23/2025","38,354.09","38,260.69","38,368.22","38,026.32","95.80M","-0.13%"
"06/20/2025","38,403.23","38,472.25","38,646.16","38,362.54","183.90M","-0.22%"
"06/19/2025","38,488.34","38,858.52","38,870.55","38,488.34","89.30M","-1.02%"
"06/18/2025","38,885.15","38,364.16","38,885.15","38,364.16","110.00M","0.90%"
"06/17/2025","38,536.74","38,366.68","38,581.25","38,333.35","103.60M","0.59%"
"06/16/2025","38,311.33","38,056.86","38,342.52","38,055.52","104.70M","1.26%"
"06/13/2025","37,834.25","38,130.25","38,141.59","37,540.20","143.50M","-0.89%"
"06/12/2025","38,173.09","38,324.93","38,407.57","38,102.05","104.50M","-0.65%"
"06/11/2025","38,421.19","38,431.10","38,529.64","38,288.28","109.30M","0.55%"
"06/10/2025","38,211.51","38,278.17","38,495.70","38,139.10","106.00M","0.32%"
"06/09/2025","38,088.57","38,028.71","38,178.01","38,018.22","85.70M","0.92%"
"06/06/2025","37,741.61","37,590.44","37,756.15","37,590.42","98.10M","0.50%"
"06/05/2025","37,554.49","37,590.39","37,732.88","37,527.88","113.80M","-0.51%"
"06/04/2025","37,747.45","37,686.66","37,868.42","37,672.47","106.70M","0.80%"
"06/03/2025","37,446.81","37,598.31","37,729.45","37,446.81","109.30M","-0.06%"
"06/02/2025","37,470.67","37,651.18","37,651.18","37,320.72","109.60M","-1.30%"
"05/30/2025","37,965.10","37,912.49","38,114.47","37,748.17","204.30M","-1.22%"
"05/29/2025","38,432.98","38,046.97","38,454.07","38,035.32","133.20M","1.88%"
"05/28/2025","37,722.40","38,094.79","38,178.73","37,709.71","122.60M","-0.00%"
"05/27/2025","37,724.11","37,523.37","37,769.05","37,411.68","86.20M","0.51%"
"05/26/2025","37,531.53","37,209.26","37,531.53","37,167.01","89.90M","1.00%"
"05/23/2025","37,160.47","37,161.74","37,373.91","37,111.63","105.30M","0.47%"
"05/22/2025","36,985.87","36,931.89","37,100.45","36,855.83","110.90M","-0.84%"
"05/21/2025","37,298.98","37,590.15","37,659.94","37,298.98","121.30M","-0.61%"
"05/20/2025","37,529.49","37,723.60","37,921.81","37,455.70","125.80M","0.08%"
"05/19/2025","37,498.63","37,572.36","37,656.23","37,445.93","107.60M","-0.68%"
"05/16/2025","37,753.72","37,748.58","37,786.43","37,479.21","128.10M","-0.00%"
"05/15/2025","37,755.51","37,832.36","37,876.84","37,633.36","134.80M","-0.98%"
"05/14/2025","38,128.13","38,199.03","38,325.88","37,851.80","152.10M","-0.14%"
"05/13/2025","38,183.26","38,149.53","38,494.06","38,124.20","177.40M","1.43%"
"05/12/2025","37,644.26","37,697.28","37,726.44","37,417.39","142.90M","0.38%"
"05/09/2025","37,503.33","37,332.57","37,557.41","37,219.03","201.40M","1.56%"
"05/08/2025","36,928.63","36,863.38","36,977.35","36,606.71","137.30M","0.41%"
"05/07/2025","36,779.66","36,903.66","36,942.38","36,731.39","156.30M","-0.14%"
"05/02/2025","36,830.69","36,636.55","36,976.51","36,606.58","141.00M","1.04%"
"05/01/2025","36,452.30","36,197.04","36,544.15","36,040.05","131.60M","1.13%"
"04/30/2025","36,045.38","35,946.88","36,056.52","35,793.33","167.10M","0.57%"
"04/28/2025","35,839.99","35,962.80","36,075.26","35,773.49","132.40M","0.38%"
"04/25/2025","35,705.74","35,387.67","35,835.28","35,337.98","134.70M","1.90%"
"04/24/2025","35,039.15","35,194.71","35,287.95","34,960.65","137.10M","0.49%"
"04/23/2025","34,868.63","34,787.93","35,142.12","34,682.28","133.40M","1.89%"
"04/22/2025","34,220.60","34,111.14","34,340.57","34,109.85","99.40M","-0.17%"
