"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2025","6,845.50","6,898.82","6,901.42","6,844.55","3.26B","-0.74%"
"12/30/2025","6,896.24","6,900.44","6,913.25","6,893.47","3.31B","-0.14%"
"12/29/2025","6,905.74","6,903.60","6,920.21","6,888.76","3.54B","-0.35%"
"12/26/2025","6,929.94","6,936.02","6,945.77","6,921.60","2.59B","-0.03%"
"12/24/2025","6,932.05","6,904.91","6,937.32","6,904.91","1.80B","0.32%"
"12/23/2025","6,909.79","6,872.41","6,910.88","6,868.81","3.82B","0.46%"
"12/22/2025","6,878.49","6,865.21","6,882.03","6,855.74","4.47B","0.64%"
"12/19/2025","6,834.50","6,792.62","6,840.02","6,792.62","8.55B","0.88%"
"12/18/2025","6,774.76","6,778.06","6,816.13","6,758.50","5.10B","0.79%"
"12/17/2025","6,721.43","6,802.88","6,812.26","6,720.43","5.12B","-1.16%"
"12/16/2025","6,800.26","6,800.12","6,819.27","6,759.74","4.98B","-0.24%"
"12/15/2025","6,816.51","6,860.19","6,861.59","6,801.49","4.98B","-0.16%"
"12/12/2025","6,827.41","6,886.85","6,899.85","6,801.79","4.91B","-1.07%"
"12/11/2025","6,901.00","6,861.30","6,903.46","6,833.45","5.02B","0.21%"
"12/10/2025","6,886.68","6,833.49","6,900.67","6,824.69","5.53B","0.67%"
"12/09/2025","6,840.51","6,840.61","6,864.92","6,837.43","4.51B","-0.09%"
"12/08/2025","6,846.51","6,875.20","6,878.27","6,827.19","4.76B","-0.35%"
"12/05/2025","6,870.40","6,866.32","6,895.78","6,858.29","4.94B","0.19%"
"12/04/2025","6,857.12","6,866.47","6,866.47","6,827.12","4.87B","0.11%"
"12/03/2025","6,849.72","6,815.29","6,862.42","6,810.43","4.74B","0.30%"
"12/02/2025","6,829.37","6,830.96","6,851.55","6,806.71","4.58B","0.25%"
"12/01/2025","6,812.63","6,812.30","6,843.65","6,799.94","4.55B","-0.53%"
"11/28/2025","6,849.09","6,822.52","6,850.86","6,819.75","2.56B","0.54%"
"11/26/2025","6,812.61","6,793.55","6,831.44","6,783.87","4.49B","0.69%"
"11/25/2025","6,765.88","6,697.03","6,776.40","6,659.98","5.00B","0.91%"
"11/24/2025","6,705.12","6,636.54","6,715.75","6,630.70","6.04B","1.55%"
"11/21/2025","6,602.99","6,555.77","6,660.05","6,521.92","5.93B","0.98%"
"11/20/2025","6,538.76","6,737.93","6,770.35","6,534.05","5.60B","-1.56%"
"11/19/2025","6,642.16","6,625.84","6,689.75","6,603.50","5.02B","0.38%"
"11/18/2025","6,617.32","6,641.19","6,666.63","6,574.32","5.16B","-0.83%"
"11/17/2025","6,672.41","6,713.61","6,754.50","6,638.90","5.20B","-0.92%"
"11/14/2025","6,734.11","6,672.14","6,774.31","6,646.87","5.04B","-0.05%"
"11/13/2025","6,737.49","6,826.47","6,828.05","6,724.72","5.47B","-1.66%"
"11/12/2025","6,850.92","6,867.77","6,869.91","6,829.62","5.29B","0.06%"
"11/11/2025","6,846.61","6,815.64","6,855.13","6,806.87","4.98B","0.21%"
"11/10/2025","6,832.43","6,785.36","6,841.32","6,770.56","5.37B","1.54%"
"11/07/2025","6,728.80","6,696.18","6,730.11","6,631.44","5.93B","0.13%"
"11/06/2025","6,720.32","6,787.59","6,796.68","6,707.51","6.05B","-1.12%"
"11/05/2025","6,796.29","6,769.77","6,829.78","6,763.11","5.94B","0.37%"
"11/04/2025","6,771.55","6,788.52","6,820.21","6,766.71","5.74B","-1.17%"
"11/03/2025","6,851.97","6,882.32","6,882.32","6,820.62","6.07B","0.17%"
"10/31/2025","6,840.20","6,879.17","6,879.17","6,814.26","6.40B","0.26%"
"10/30/2025","6,822.34","6,860.50","6,880.75","6,820.69","6.05B","-0.99%"
"10/29/2025","6,890.59","6,910.95","6,920.34","6,851.91","6.28B","-0.00%"
"10/28/2025","6,890.89","6,897.74","6,911.30","6,870.73","5.70B","0.23%"
"10/27/2025","6,875.16","6,845.46","6,877.28","6,843.94","5.29B","1.23%"
"10/24/2025","6,791.69","6,772.07","6,807.11","6,772.07","5.06B","0.79%"
"10/23/2025","6,738.44","6,703.65","6,749.53","6,700.14","5.57B","0.58%"
"10/22/2025","6,699.40","6,741.34","6,741.75","6,655.69","5.71B","-0.53%"
"10/21/2025","6,735.35","6,736.75","6,752.16","6,722.03","5.25B","0.00%"
"10/20/2025","6,735.13","6,690.05","6,744.35","6,690.05","4.67B","1.07%"
"10/17/2025","6,664.01","6,613.27","6,678.88","6,603.76","5.36B","0.53%"
"10/16/2025","6,629.07","6,689.02","6,709.34","6,593.99","6.05B","-0.63%"
"10/15/2025","6,671.06","6,688.27","6,724.12","6,612.11","5.63B","0.40%"
"10/14/2025","6,644.31","6,602.49","6,680.70","6,555.07","5.67B","-0.16%"
"10/13/2025","6,654.72","6,622.53","6,668.68","6,620.71","5.30B","1.56%"
"10/10/2025","6,552.51","6,740.49","6,762.40","6,550.78","6.60B","-2.71%"
"10/09/2025","6,735.11","6,760.50","6,764.58","6,716.17","5.39B","-0.28%"
"10/08/2025","6,753.72","6,723.87","6,755.64","6,718.09","5.38B","0.58%"
"10/07/2025","6,714.59","6,746.14","6,754.49","6,699.96","5.55B","-0.38%"
"10/06/2025","6,740.28","6,733.86","6,749.52","6,717.78","5.60B","0.36%"
"10/03/2025","6,715.79","6,722.14","6,750.87","6,705.67","5.71B","0.01%"
"10/02/2025","6,715.35","6,731.31","6,731.94","6,693.23","5.42B","0.06%"
"10/01/2025","6,711.20","6,664.92","6,718.48","6,656.20","6.04B","0.34%"
"09/30/2025","6,688.46","6,656.19","6,691.25","6,641.00","6.06B","0.41%"
"09/29/2025","6,661.21","6,661.58","6,677.31","6,644.49","5.36B","0.26%"
"09/26/2025","6,643.70","6,615.38","6,648.97","6,604.43","5.10B","0.59%"
"09/25/2025","6,604.72","6,608.19","6,619.00","6,569.22","5.87B","-0.50%"
"09/24/2025","6,637.97","6,669.79","6,672.66","6,621.76","5.46B","-0.28%"
"09/23/2025","6,656.92","6,692.44","6,699.52","6,645.58","5.63B","-0.55%"
"09/22/2025","6,693.75","6,654.28","6,698.88","6,648.07","5.64B","0.44%"
"09/19/2025","6,664.36","6,647.11","6,671.82","6,630.31","9.13B","0.49%"
"09/18/2025","6,631.96","6,626.85","6,656.80","6,611.89","5.29B","0.48%"
"09/17/2025","6,600.35","6,604.87","6,624.39","6,551.15","5.81B","-0.10%"
"09/16/2025","6,606.76","6,624.13","6,626.99","6,600.11","5.36B","-0.13%"
"09/15/2025","6,615.28","6,603.49","6,619.62","6,602.07","5.05B","0.47%"
"09/12/2025","6,584.29","6,590.66","6,600.21","6,579.49","4.64B","-0.05%"
"09/11/2025","6,587.47","6,554.41","6,592.89","6,545.80","5.43B","0.85%"
"09/10/2025","6,532.04","6,550.29","6,555.97","6,516.34","5.25B","0.30%"
"09/09/2025","6,512.61","6,503.33","6,518.23","6,483.08","4.80B","0.27%"
"09/08/2025","6,495.15","6,498.09","6,508.67","6,483.29","5.21B","0.21%"
"09/05/2025","6,481.50","6,529.08","6,532.65","6,443.98","5.07B","-0.32%"
"09/04/2025","6,502.08","6,456.60","6,502.54","6,445.98","4.67B","0.83%"
"09/03/2025","6,448.26","6,445.82","6,453.67","6,416.17","4.47B","0.51%"
"09/02/2025","6,415.54","6,401.51","6,416.54","6,360.58","4.78B","-0.69%"
"08/29/2025","6,460.26","6,489.28","6,491.76","6,444.57","4.23B","-0.64%"
"08/28/2025","6,501.86","6,483.84","6,508.23","6,466.96","4.28B","0.32%"
"08/27/2025","6,481.40","6,462.26","6,487.06","6,457.84","4.14B","0.24%"
"08/26/2025","6,465.94","6,435.49","6,468.37","6,429.21","4.87B","0.41%"
"08/25/2025","6,439.32","6,457.67","6,466.89","6,438.06","4.06B","-0.43%"
"08/22/2025","6,466.91","6,384.59","6,478.89","6,384.59","5.05B","1.52%"
"08/21/2025","6,370.17","6,380.83","6,393.65","6,352.71","4.01B","-0.40%"
"08/20/2025","6,395.78","6,406.62","6,408.40","6,343.86","4.47B","-0.24%"
