"Date","Price","Open","High","Low","Vol.","Change %"
"05/05/2026","25,898.61","25,945.75","25,945.75","25,690.36","1.48B","-0.76%"
"05/04/2026","26,095.88","26,138.34","26,326.44","26,091.86","1.81B","1.24%"
"04/30/2026","25,776.53","26,008.32","26,072.24","25,734.16","4.13B","-1.28%"
"04/29/2026","26,111.84","25,842.63","26,132.94","25,811.46","3.78B","1.68%"
"04/28/2026","25,679.78","25,814.37","25,896.66","25,609.61","3.26B","-0.95%"
"04/27/2026","25,925.65","25,976.97","26,086.02","25,858.24","2.60B","-0.20%"
"04/24/2026","25,978.07","25,733.61","26,004.59","25,639.26","2.89B","0.24%"
"04/23/2026","25,915.20","26,098.81","26,115.07","25,840.55","2.61B","-0.95%"
"04/22/2026","26,163.24","26,303.60","26,303.60","26,073.45","2.56B","-1.22%"
"04/21/2026","26,487.48","26,442.29","26,529.49","26,342.02","2.46B","0.48%"
"04/20/2026","26,361.07","26,204.61","26,411.69","26,094.64","2.87B","0.77%"
"04/17/2026","26,160.33","26,210.97","26,280.96","26,015.44","2.79B","-0.89%"
"04/16/2026","26,394.26","26,122.80","26,403.07","26,122.80","2.81B","1.72%"
"04/15/2026","25,947.32","26,168.25","26,216.58","25,947.32","3.02B","0.29%"
"04/14/2026","25,872.32","25,929.40","25,995.09","25,668.53","2.71B","0.82%"
"04/13/2026","25,660.85","25,708.64","25,717.38","25,508.53","2.29B","-0.90%"
"04/10/2026","25,893.54","25,891.88","26,073.97","25,843.65","2.57B","0.55%"
"04/09/2026","25,752.40","25,756.41","25,854.80","25,653.63","2.92B","-0.54%"
"04/08/2026","25,893.02","25,772.56","25,934.18","25,668.67","4.87B","3.09%"
"04/02/2026","25,116.53","25,254.49","25,254.49","24,901.77","3.19B","-0.70%"
"04/01/2026","25,294.03","25,357.23","25,429.76","25,203.69","3.86B","2.04%"
"03/31/2026","24,788.14","24,818.20","24,988.53","24,559.57","3.80B","0.15%"
"03/30/2026","24,750.79","24,532.85","24,811.86","24,409.57","4.15B","-0.81%"
"03/27/2026","24,951.88","24,768.66","25,095.57","24,712.92","3.41B","0.38%"
"03/26/2026","24,856.43","25,267.16","25,278.03","24,793.10","3.97B","-1.89%"
"03/25/2026","25,335.95","25,280.52","25,390.30","25,015.20","4.57B","1.09%"
"03/24/2026","25,063.71","24,759.82","25,077.09","24,555.50","3.89B","2.79%"
"03/23/2026","24,382.47","24,789.14","24,789.14","24,203.54","5.09B","-3.54%"
"03/20/2026","25,277.32","25,337.28","25,563.88","25,121.46","4.60B","-0.88%"
"03/19/2026","25,500.58","25,550.56","25,737.83","25,449.06","3.55B","-2.02%"
"03/18/2026","26,025.42","25,923.03","26,117.95","25,791.82","2.54B","0.61%"
"03/17/2026","25,868.54","25,938.43","26,250.14","25,844.95","2.90B","0.13%"
"03/16/2026","25,834.02","25,436.27","25,856.73","25,317.81","3.02B","1.45%"
"03/13/2026","25,465.60","25,583.55","25,697.17","25,419.87","2.79B","-0.98%"
"03/12/2026","25,716.76","25,719.47","25,932.58","25,521.15","3.05B","-0.70%"
"03/11/2026","25,898.76","26,112.08","26,149.64","25,819.10","3.14B","-0.24%"
"03/10/2026","25,959.90","25,740.29","25,959.90","25,611.79","3.52B","2.17%"
"03/09/2026","25,408.46","25,075.74","25,442.62","24,906.00","5.30B","-1.35%"
"03/06/2026","25,757.29","25,358.56","25,806.72","25,267.63","3.67B","1.72%"
"03/05/2026","25,321.34","25,583.65","25,736.60","25,236.68","3.48B","0.28%"
"03/04/2026","25,249.48","25,469.34","25,470.05","24,958.43","4.70B","-2.01%"
"03/03/2026","25,768.08","26,190.24","26,218.93","25,727.00","4.71B","-1.12%"
"03/02/2026","26,059.85","26,305.58","26,403.85","25,882.95","4.59B","-2.14%"
"02/27/2026","26,630.54","26,447.05","26,701.50","26,375.70","3.29B","0.95%"
"02/26/2026","26,381.02","27,019.74","27,024.07","26,373.01","2.90B","-1.44%"
"02/25/2026","26,765.72","26,745.20","26,870.03","26,632.53","2.50B","0.66%"
"02/24/2026","26,590.32","26,913.68","26,913.68","26,480.86","2.68B","-1.82%"
"02/23/2026","27,081.91","26,798.97","27,156.28","26,798.97","1.82B","2.53%"
"02/20/2026","26,413.35","26,657.84","26,694.34","26,356.96","1.69B","-1.10%"
"02/16/2026","26,705.94","26,501.20","26,734.41","26,382.41","808.50M","0.52%"
"02/13/2026","26,567.12","26,640.16","26,774.44","26,444.46","2.49B","-1.72%"
"02/12/2026","27,032.54","27,210.56","27,215.63","26,932.56","2.67B","-0.86%"
"02/11/2026","27,266.38","27,246.18","27,325.98","27,133.77","2.40B","0.31%"
"02/10/2026","27,183.15","27,202.96","27,397.65","27,104.82","2.55B","0.58%"
"02/09/2026","27,027.16","26,982.49","27,111.54","26,879.10","2.73B","1.76%"
"02/06/2026","26,559.95","26,354.34","26,710.34","26,295.03","2.91B","-1.21%"
"02/05/2026","26,885.24","26,627.95","26,919.39","26,410.77","3.19B","0.14%"
"02/04/2026","26,847.32","26,797.05","27,004.22","26,593.18","2.98B","0.05%"
"02/03/2026","26,834.77","26,995.76","27,126.48","26,431.80","3.43B","0.22%"
"02/02/2026","26,775.57","27,097.34","27,100.09","26,507.62","4.83B","-2.23%"
"01/30/2026","27,387.11","27,785.98","27,887.24","27,384.02","4.43B","-2.08%"
"01/29/2026","27,968.09","27,627.11","28,056.10","27,611.90","4.40B","0.51%"
"01/28/2026","27,826.91","27,325.89","27,826.91","27,258.10","5.05B","2.58%"
"01/27/2026","27,126.95","26,863.15","27,188.90","26,829.71","3.06B","1.35%"
"01/26/2026","26,765.52","26,844.04","26,911.44","26,619.83","2.93B","0.06%"
"01/23/2026","26,749.51","26,861.36","26,895.94","26,689.73","2.80B","0.45%"
"01/22/2026","26,629.96","26,750.51","26,779.22","26,499.14","2.99B","0.17%"
"01/21/2026","26,585.06","26,397.04","26,692.78","26,397.04","3.00B","0.37%"
"01/20/2026","26,487.51","26,544.90","26,638.55","26,363.86","2.77B","-0.29%"
"01/19/2026","26,563.90","26,641.60","26,715.58","26,533.67","2.74B","-1.05%"
"01/16/2026","26,844.96","27,094.85","27,176.31","26,741.54","3.37B","-0.29%"
"01/15/2026","26,923.62","26,972.36","27,206.84","26,808.35","3.57B","-0.28%"
"01/14/2026","26,999.81","26,971.97","27,097.72","26,780.27","4.85B","0.56%"
"01/13/2026","26,848.47","26,958.52","27,143.66","26,729.54","3.69B","0.90%"
"01/12/2026","26,608.48","26,376.84","26,608.48","26,187.76","3.60B","1.44%"
"01/09/2026","26,231.79","26,272.54","26,299.32","26,114.41","3.24B","0.32%"
"01/08/2026","26,149.31","26,302.78","26,305.69","25,960.34","3.24B","-1.17%"
"01/07/2026","26,458.95","26,601.83","26,616.94","26,313.51","3.65B","-0.94%"
"01/06/2026","26,710.45","26,502.40","26,858.13","26,498.36","3.80B","1.38%"
"01/05/2026","26,347.24","26,361.44","26,445.50","26,256.00","3.69B","0.03%"
"01/02/2026","26,338.47","25,717.42","26,345.63","25,717.42","1.49B","2.76%"
"12/31/2025","25,630.54","25,801.49","25,808.52","25,554.31","1.65B","-0.87%"
"12/30/2025","25,854.60","25,636.40","25,930.22","25,611.23","3.14B","0.86%"
"12/29/2025","25,635.23","25,928.89","26,082.94","25,630.75","2.93B","-0.71%"
"12/24/2025","25,818.93","25,780.09","25,890.87","25,772.87","1.24B","0.17%"
"12/23/2025","25,774.14","25,875.85","25,927.66","25,726.45","2.24B","-0.11%"
"12/22/2025","25,801.77","25,795.94","25,859.61","25,671.33","2.36B","0.43%"
"12/19/2025","25,690.53","25,634.22","25,747.01","25,545.92","3.36B","0.75%"
"12/18/2025","25,498.13","25,330.83","25,511.84","25,261.38","2.61B","0.12%"
"12/17/2025","25,468.78","25,243.59","25,494.94","25,168.19","2.47B","0.92%"
"12/16/2025","25,235.41","25,547.92","25,547.92","25,086.54","2.92B","-1.54%"
"12/15/2025","25,628.88","25,718.14","25,824.44","25,609.28","2.80B","-1.34%"
"12/12/2025","25,976.79","25,761.41","26,006.47","25,697.43","3.22B","1.75%"
"12/11/2025","25,530.51","25,710.61","25,801.34","25,471.50","2.35B","-0.04%"
"12/10/2025","25,540.78","25,435.49","25,540.78","25,257.61","2.73B","0.42%"
"12/09/2025","25,434.23","25,780.97","25,820.31","25,386.58","2.86B","-1.29%"
"12/08/2025","25,765.36","26,067.86","26,151.46","25,755.01","2.92B","-1.23%"
"12/05/2025","26,085.08","25,833.11","26,131.61","25,758.17","2.97B","0.58%"
"12/04/2025","25,935.90","25,804.01","25,990.73","25,649.30","2.17B","0.68%"
"12/03/2025","25,760.73","25,980.89","25,996.88","25,724.82","2.18B","-1.28%"
"12/02/2025","26,095.05","26,188.55","26,264.13","25,989.45","2.45B","0.24%"
"12/01/2025","26,033.26","25,945.87","26,179.72","25,913.98","2.32B","0.67%"
"11/28/2025","25,858.89","26,011.06","26,011.06","25,807.55","1.96B","-0.34%"
"11/27/2025","25,945.93","25,945.54","26,123.69","25,822.66","2.68B","0.07%"
"11/26/2025","25,928.08","26,046.74","26,136.27","25,907.06","2.56B","0.13%"
"11/25/2025","25,894.55","25,948.90","26,069.22","25,740.54","2.96B","0.69%"
"11/24/2025","25,716.50","25,452.87","25,770.45","25,369.29","4.42B","1.97%"
"11/21/2025","25,220.02","25,460.42","25,483.67","25,178.63","3.96B","-2.38%"
"11/20/2025","25,835.57","25,999.78","26,046.76","25,692.13","2.98B","0.02%"
"11/19/2025","25,830.65","25,954.23","26,045.37","25,742.07","2.89B","-0.38%"
"11/18/2025","25,930.03","26,172.27","26,188.82","25,821.84","3.51B","-1.72%"
"11/17/2025","26,384.28","26,441.70","26,531.80","26,252.36","2.52B","-0.71%"
"11/14/2025","26,572.46","26,660.31","26,881.88","26,535.42","2.81B","-1.85%"
"11/13/2025","27,073.03","26,779.48","27,188.81","26,733.21","3.29B","0.56%"
"11/12/2025","26,922.73","26,754.93","27,016.40","26,739.09","3.44B","0.85%"
"11/11/2025","26,696.41","26,748.09","26,788.43","26,511.25","2.42B","0.18%"
"11/10/2025","26,649.06","26,319.40","26,668.89","26,302.93","3.12B","1.55%"
"11/07/2025","26,241.83","26,350.74","26,371.46","26,167.23","2.70B","-0.92%"
"11/06/2025","26,485.90","26,061.58","26,490.71","26,061.58","2.71B","2.12%"
"11/05/2025","25,935.41","25,701.63","25,980.90","25,496.13","2.77B","-0.07%"
"11/04/2025","25,952.40","26,148.07","26,291.65","25,911.79","3.42B","-0.79%"
"11/03/2025","26,158.36","25,999.17","26,217.12","25,920.27","1.79B","0.97%"
"10/31/2025","25,906.65","26,263.01","26,283.96","25,906.65","3.38B","-1.43%"
"10/30/2025","26,282.69","26,545.92","26,588.89","26,138.79","4.32B","-0.24%"
"10/28/2025","26,346.14","26,508.75","26,519.24","26,245.33","2.86B","-0.33%"
"10/27/2025","26,433.70","26,495.97","26,495.97","26,319.22","3.16B","1.05%"
"10/24/2025","26,160.15","26,177.11","26,239.96","26,063.99","2.59B","0.74%"
"10/23/2025","25,967.98","25,718.53","26,080.84","25,591.66","3.10B","0.72%"
"10/22/2025","25,781.77","25,897.62","25,947.88","25,653.75","2.83B","-0.94%"
"10/21/2025","26,027.55","26,160.24","26,367.35","26,017.72","3.06B","0.65%"
"10/20/2025","25,858.83","25,884.46","25,912.77","25,710.61","2.90B","2.42%"
"10/17/2025","25,247.10","25,851.94","25,859.82","25,145.34","4.01B","-2.48%"
"10/16/2025","25,888.51","25,890.01","26,062.80","25,687.32","3.38B","-0.09%"
"10/15/2025","25,910.60","25,714.89","25,982.21","25,593.45","3.50B","1.84%"
"10/14/2025","25,441.35","25,969.21","26,102.68","25,331.64","4.75B","-1.73%"
"10/13/2025","25,889.48","25,634.00","25,895.62","25,336.09","5.17B","-1.52%"
"10/10/2025","26,290.32","26,523.89","26,558.87","26,247.04","3.43B","-1.73%"
"10/09/2025","26,752.59","26,862.03","26,978.41","26,480.58","4.01B","-0.29%"
"10/08/2025","26,829.46","26,900.64","26,906.20","26,517.45","2.11B","-0.48%"
"10/06/2025","26,957.77","27,003.92","27,145.17","26,873.34","1.13B","-0.67%"
"10/03/2025","27,140.92","27,221.46","27,262.00","26,972.71","1.39B","-0.54%"
"10/02/2025","27,287.12","26,918.30","27,381.84","26,918.30","2.32B","1.61%"
"09/30/2025","26,855.56","26,674.16","26,888.40","26,558.28","3.50B","0.87%"
"09/29/2025","26,622.88","26,321.57","26,687.72","26,321.57","3.50B","1.89%"
"09/26/2025","26,128.20","26,272.30","26,406.05","26,072.93","3.44B","-1.35%"
"09/25/2025","26,484.68","26,536.13","26,640.53","26,403.52","3.69B","-0.13%"
"09/24/2025","26,518.65","26,073.69","26,562.88","26,057.26","3.02B","1.37%"
"09/23/2025","26,159.12","26,435.58","26,454.09","26,003.67","3.12B","-0.70%"
"09/22/2025","26,344.14","26,459.52","26,479.14","26,204.01","3.30B","-0.76%"
"09/19/2025","26,545.10","26,583.03","26,637.64","26,414.11","4.17B","0.00%"
"09/18/2025","26,544.85","26,863.69","27,058.03","26,322.08","4.11B","-1.35%"
"09/17/2025","26,908.39","26,554.19","26,936.50","26,540.57","3.70B","1.78%"
"09/16/2025","26,438.51","26,536.63","26,601.59","26,332.21","2.88B","-0.03%"
"09/15/2025","26,446.56","26,308.91","26,532.75","26,280.23","2.86B","0.22%"
"09/12/2025","26,388.16","26,539.44","26,585.95","26,329.66","3.33B","1.16%"
"09/11/2025","26,086.32","25,987.49","26,241.46","25,878.97","3.99B","-0.43%"
"09/10/2025","26,200.26","26,042.41","26,296.60","26,017.50","3.79B","1.01%"
"09/09/2025","25,938.13","25,711.07","26,027.94","25,675.28","3.63B","1.19%"
"09/08/2025","25,633.91","25,440.01","25,664.01","25,387.81","3.65B","0.85%"
"09/05/2025","25,417.98","25,136.24","25,471.80","25,090.65","3.74B","1.43%"
"09/04/2025","25,058.51","25,489.13","25,494.45","25,013.26","3.63B","-1.12%"
"09/03/2025","25,343.43","25,660.65","25,789.99","25,276.87","3.19B","-0.60%"
"09/02/2025","25,496.55","25,587.97","25,724.73","25,416.61","3.81B","-0.47%"
"09/01/2025","25,617.42","25,508.21","25,638.34","25,471.35","4.32B","2.15%"
"08/29/2025","25,077.62","25,095.45","25,277.51","25,066.85","3.82B","0.32%"
"08/28/2025","24,998.82","25,030.54","25,093.65","24,808.78","4.18B","-0.81%"
"08/27/2025","25,201.76","25,626.17","25,653.92","25,140.17","3.87B","-1.27%"
"08/26/2025","25,524.92","25,714.91","25,819.70","25,524.92","3.64B","-1.18%"
"08/25/2025","25,829.91","25,606.88","25,918.86","25,590.62","4.14B","1.94%"
"08/22/2025","25,339.14","25,205.04","25,349.08","25,140.08","3.36B","0.93%"
"08/21/2025","25,104.61","25,216.42","25,216.42","25,000.85","2.86B","-0.24%"
"08/20/2025","25,165.94","24,968.57","25,210.90","24,887.93","2.98B","0.17%"
"08/19/2025","25,122.90","25,241.29","25,260.58","25,083.20","3.20B","-0.21%"
"08/18/2025","25,176.85","25,293.34","25,466.10","25,176.85","3.72B","-0.37%"
"08/15/2025","25,270.07","25,322.10","25,356.54","25,167.81","4.16B","-0.98%"
"08/14/2025","25,519.32","25,766.62","25,766.62","25,449.80","3.33B","-0.37%"
"08/13/2025","25,613.67","25,176.52","25,613.67","25,176.52","3.27B","2.58%"
"08/12/2025","24,969.68","24,824.07","25,016.29","24,801.13","2.37B","0.25%"
"08/11/2025","24,906.81","24,946.55","24,969.30","24,775.73","2.53B","0.19%"
"08/08/2025","24,858.82","24,968.31","24,999.11","24,812.12","2.49B","-0.89%"
"08/07/2025","25,081.63","24,982.50","25,115.16","24,820.60","2.94B","0.69%"
"08/06/2025","24,910.63","24,864.15","25,002.97","24,806.46","2.45B","0.03%"
"08/05/2025","24,902.53","24,746.81","24,925.90","24,686.85","3.06B","0.68%"
"08/04/2025","24,733.45","24,431.88","24,748.76","24,372.51","2.85B","0.92%"
"08/01/2025","24,507.81","24,744.34","24,856.54","24,507.63","3.77B","-1.07%"
"07/31/2025","24,773.33","24,982.87","25,000.06","24,744.92","4.19B","-1.60%"
"07/30/2025","25,176.93","25,335.21","25,499.57","25,082.20","4.67B","-1.36%"
"07/29/2025","25,524.45","25,454.83","25,530.42","25,252.32","3.75B","-0.15%"
