"Date","Price","Open","High","Low","Vol.","Change %"
"02/12/2026","32,465.30","33,304.80","33,310.60","32,442.90","359.94M","-2.37%"
"02/11/2026","33,254.20","33,564.00","33,693.40","33,033.30","306.06M","-0.01%"
"02/10/2026","33,256.80","33,102.30","33,292.20","33,042.10","271.86M","0.71%"
"02/09/2026","33,023.30","32,481.20","33,023.30","32,481.20","305.81M","1.70%"
"02/06/2026","32,471.00","32,148.40","32,478.00","32,148.40","304.16M","1.49%"
"02/05/2026","31,994.60","32,436.50","32,436.50","31,926.10","321.40M","-1.77%"
"02/04/2026","32,571.60","32,455.90","32,574.90","32,224.40","372.46M","0.57%"
"02/03/2026","32,388.60","32,289.00","32,540.10","32,051.10","327.76M","0.64%"
"02/02/2026","32,183.90","31,918.90","32,235.30","31,918.90","316.60M","0.82%"
"01/30/2026","31,923.50","32,835.30","32,835.30","31,726.80","359.76M","-3.31%"
"01/29/2026","33,016.10","33,252.20","33,427.90","32,698.10","400.56M","-0.48%"
"01/28/2026","33,176.10","33,143.00","33,288.40","32,966.50","322.65M","0.24%"
"01/27/2026","33,096.40","33,075.90","33,167.30","32,886.40","274.00M","0.01%"
"01/26/2026","33,093.30","33,232.60","33,428.40","33,068.20","301.55M","-0.16%"
"01/23/2026","33,145.00","33,047.40","33,152.80","32,966.40","266.90M","0.43%"
"01/22/2026","33,002.70","32,928.20","33,128.60","32,879.70","247.65M","0.46%"
"01/21/2026","32,851.50","32,862.50","33,015.80","32,691.50","337.76M","0.31%"
"01/20/2026","32,750.30","33,030.00","33,030.00","32,693.70","297.63M","-1.03%"
"01/19/2026","33,091.00","33,000.40","33,100.50","32,918.70","104.17M","0.15%"
"01/16/2026","33,040.60","33,031.30","33,099.50","32,859.80","274.99M","0.04%"
"01/15/2026","33,028.90","32,953.80","33,099.30","32,876.40","229.47M","0.34%"
"01/14/2026","32,916.50","32,894.90","32,957.30","32,708.20","300.73M","0.14%"
"01/13/2026","32,870.40","32,953.20","32,978.60","32,845.40","294.01M","-0.01%"
"01/12/2026","32,874.70","32,676.70","32,897.50","32,676.70","284.08M","0.80%"
"01/09/2026","32,612.90","32,457.00","32,679.70","32,457.00","248.70M","0.72%"
"01/08/2026","32,378.60","32,090.70","32,393.30","32,036.20","295.14M","0.76%"
"01/07/2026","32,135.50","32,254.30","32,254.30","31,974.90","344.54M","-0.84%"
"01/06/2026","32,407.00","32,227.80","32,431.50","32,170.60","336.76M","0.58%"
"01/05/2026","32,220.00","31,982.70","32,318.30","31,982.70","375.68M","1.06%"
"01/02/2026","31,883.40","31,815.70","31,884.20","31,685.50","219.40M","0.54%"
"12/31/2025","31,712.80","31,840.30","31,881.80","31,692.60","135.20M","-0.48%"
"12/30/2025","31,866.30","31,976.20","32,029.80","31,866.30","220.44M","-0.09%"
"12/29/2025","31,896.60","31,890.60","31,993.00","31,834.10","262.17M","-0.32%"
"12/24/2025","31,999.80","32,039.00","32,079.70","31,914.70","82.63M","-0.18%"
"12/23/2025","32,058.70","31,989.10","32,073.20","31,950.80","245.18M","0.18%"
"12/22/2025","32,000.10","31,875.10","32,081.90","31,827.60","290.36M","0.77%"
"12/19/2025","31,755.80","31,527.40","31,865.80","31,527.40","689.86M","1.00%"
"12/18/2025","31,440.90","31,367.50","31,636.70","31,366.90","266.17M","0.61%"
"12/17/2025","31,250.00","31,382.20","31,450.50","31,170.80","295.94M","-0.04%"
"12/16/2025","31,263.90","31,374.90","31,480.60","31,215.80","313.06M","-0.70%"
"12/15/2025","31,483.40","31,594.60","31,707.00","31,434.10","291.96M","-0.14%"
