"Date","Price","Open","High","Low","Vol.","Change %"
"08/24/2021","880.64","880.49","880.91","875.08","57.00M","0.38%"
"08/23/2021","877.30","878.00","880.32","873.15","65.50M","1.48%"
"08/20/2021","864.51","868.31","869.51","861.53","62.24M","0.25%"
"08/19/2021","862.32","876.45","876.45","860.31","70.15M","-1.79%"
"08/18/2021","878.05","876.81","882.92","874.45","69.90M","0.45%"
"08/17/2021","874.10","901.97","901.97","873.71","75.26M","-3.49%"
"08/16/2021","905.67","921.48","921.86","904.18","66.59M","-1.88%"
"08/13/2021","923.06","925.59","926.80","919.61","64.24M","0.47%"
"08/12/2021","918.76","925.96","926.75","914.34","60.88M","-0.58%"
"08/11/2021","924.08","928.23","932.24","919.51","70.39M","0.33%"
"08/10/2021","921.00","918.86","922.49","914.99","74.25M","0.33%"
"08/09/2021","917.99","925.76","927.50","915.64","90.98M","-0.83%"
"08/06/2021","925.65","921.77","925.97","916.72","80.49M","0.33%"
"08/05/2021","922.61","926.13","926.42","920.09","72.21M","-0.22%"
"08/04/2021","924.63","933.02","935.91","922.46","61.09M","-0.38%"
"08/03/2021","928.18","929.52","930.00","924.34","73.15M","0.28%"
"07/30/2021","925.63","919.97","925.63","916.58","69.73M","0.47%"
"07/29/2021","921.27","915.22","921.27","914.50","71.64M","1.37%"
"07/28/2021","908.79","901.76","908.79","901.14","66.85M","1.11%"
"07/27/2021","898.81","908.57","909.83","892.89","72.81M","-0.82%"
"07/26/2021","906.25","906.83","908.28","903.33","68.02M","0.41%"
"07/23/2021","902.56","909.57","909.57","899.70","58.10M","-0.81%"
"07/22/2021","909.96","913.00","913.58","906.82","57.40M","0.16%"
"07/21/2021","908.52","894.53","908.52","894.53","73.86M","2.10%"
"07/20/2021","889.86","877.46","889.86","876.76","66.65M","2.18%"
"07/19/2021","870.91","895.39","895.39","868.40","99.34M","-4.12%"
"07/16/2021","908.31","928.47","928.47","906.78","79.20M","-2.18%"
"07/15/2021","928.53","937.30","937.46","923.68","64.10M","-0.99%"
"07/14/2021","937.82","946.44","948.85","933.81","65.43M","-0.40%"
"07/13/2021","941.62","939.91","950.62","938.83","74.53M","0.29%"
"07/12/2021","938.93","940.63","941.57","935.73","74.36M","0.05%"
"07/09/2021","938.47","927.00","938.47","927.00","63.10M","1.75%"
"07/08/2021","922.30","933.40","933.84","918.97","86.27M","-1.96%"
"07/07/2021","940.78","956.63","956.71","938.75","72.85M","-1.34%"
"07/06/2021","953.52","968.83","971.60","952.80","76.39M","-1.11%"
"07/05/2021","964.20","969.64","969.64","963.23","50.25M","-0.43%"
"07/02/2021","968.39","967.77","968.39","961.56","66.07M","0.80%"
"06/30/2021","960.69","946.74","961.11","945.26","89.22M","1.47%"
"06/29/2021","946.79","946.20","948.52","943.09","77.89M","0.21%"
"06/28/2021","944.80","952.10","953.79","942.72","76.10M","-0.39%"
"06/25/2021","948.51","953.29","953.29","946.86","78.75M","-0.22%"
"06/24/2021","950.59","950.25","951.47","945.69","84.00M","0.50%"
"06/23/2021","945.90","946.79","949.58","945.90","77.78M","0.71%"
"06/22/2021","939.19","941.61","941.61","935.10","90.03M","-0.29%"
"06/21/2021","941.93","946.82","946.82","939.78","75.23M","-0.52%"
"06/18/2021","946.83","948.98","949.87","942.57","81.31M","-0.13%"
"06/17/2021","948.10","955.71","957.02","939.49","100.88M","-1.48%"
"06/16/2021","962.36","969.10","969.70","961.47","79.35M","-0.72%"
"06/15/2021","969.32","979.07","979.07","965.11","94.43M","-0.87%"
"06/14/2021","977.79","982.22","982.22","976.15","92.66M","-0.19%"
"06/11/2021","979.70","980.45","980.45","977.34","76.28M","-0.02%"
"06/10/2021","979.91","979.43","980.06","974.38","79.10M","0.31%"
"06/09/2021","976.84","977.96","977.98","971.90","90.72M","0.23%"
"06/08/2021","974.56","979.67","979.90","971.16","99.16M","-0.25%"
"06/07/2021","977.05","980.86","981.88","973.87","95.07M","-0.10%"
