"Date","Price","Open","High","Low","Vol.","Change %"
"06/11/2026","7,763.95","7,509.62","7,800.62","7,394.46","478.73K","0.43%"
"06/10/2026","7,730.82","7,899.77","7,996.68","7,541.11","460.90K","-4.52%"
"06/09/2026","8,096.93","7,697.76","8,119.09","7,598.87","448.50K","8.18%"
"06/08/2026","7,484.41","8,048.09","8,048.09","7,442.73","452.20K","-8.29%"
"06/05/2026","8,160.59","8,323.20","8,382.16","8,038.10","463.20K","-5.54%"
"06/04/2026","8,639.41","8,623.82","8,759.05","8,577.30","437.90K","-1.84%"
"06/02/2026","8,801.49","8,883.19","8,933.62","8,503.12","632.60K","0.15%"
"06/01/2026","8,788.38","8,485.67","8,874.16","8,485.67","636.20K","3.68%"
"05/29/2026","8,476.15","8,384.31","8,476.15","8,273.74","735.10K","3.55%"
"05/28/2026","8,185.29","8,165.73","8,253.60","7,841.01","669.00K","-0.53%"
"05/27/2026","8,228.70","8,242.12","8,457.09","8,220.04","619.50K","2.25%"
"05/26/2026","8,047.51","8,070.91","8,131.15","8,008.19","519.60K","2.55%"
"05/22/2026","7,847.71","7,873.12","7,886.64","7,780.13","435.50K","0.41%"
"05/21/2026","7,815.59","7,486.37","7,819.23","7,486.37","621.10K","8.42%"
"05/20/2026","7,208.95","7,324.52","7,324.52","7,053.84","492.50K","-0.86%"
"05/19/2026","7,271.66","7,425.66","7,446.57","7,141.91","533.50K","-3.25%"
"05/18/2026","7,516.04","7,443.29","7,636.20","7,142.71","566.60K","0.31%"
"05/15/2026","7,493.18","7,951.75","8,046.78","7,371.68","885.60K","-6.12%"
"05/14/2026","7,981.41","7,873.91","7,991.04","7,842.72","849.90K","1.75%"
"05/13/2026","7,844.01","7,513.65","7,855.47","7,402.36","738.70K","2.63%"
"05/12/2026","7,643.15","7,953.41","7,999.67","7,421.71","1.02M","-2.29%"
"05/11/2026","7,822.24","7,775.31","7,899.32","7,713.49","731.30K","4.32%"
"05/08/2026","7,498.00","7,353.94","7,511.01","7,318.96","523.10K","0.11%"
"05/07/2026","7,490.05","7,499.07","7,531.88","7,257.89","767.50K","1.43%"
"05/06/2026","7,384.56","7,093.01","7,426.60","7,093.01","995.70K","6.45%"
"05/04/2026","6,936.99","6,782.93","6,937.00","6,741.63","873.00K","5.12%"
"04/30/2026","6,598.87","6,739.39","6,750.27","6,597.83","685.50K","-1.38%"
"04/29/2026","6,690.90","6,619.00","6,702.38","6,596.03","717.90K","0.75%"
"04/28/2026","6,641.02","6,646.80","6,712.73","6,621.73","1.14M","0.39%"
"04/27/2026","6,615.03","6,533.60","6,657.22","6,529.19","842.70K","2.15%"
"04/24/2026","6,475.63","6,496.10","6,516.54","6,403.74","878.20K","-0.00%"
"04/23/2026","6,475.81","6,488.83","6,557.76","6,309.10","1.04M","0.90%"
"04/22/2026","6,417.93","6,387.57","6,423.29","6,318.51","900.10K","0.46%"
"04/21/2026","6,388.47","6,302.54","6,388.47","6,302.54","792.00K","2.72%"
"04/20/2026","6,219.09","6,213.92","6,278.36","6,176.75","692.90K","0.44%"
"04/17/2026","6,191.92","6,227.33","6,230.32","6,159.88","689.70K","-0.55%"
"04/16/2026","6,226.05","6,149.49","6,231.03","6,126.06","925.70K","2.21%"
"04/15/2026","6,091.39","6,141.60","6,183.21","6,064.23","923.80K","2.07%"
"04/14/2026","5,967.75","5,960.00","6,026.52","5,938.33","889.50K","2.74%"
"04/13/2026","5,808.62","5,737.28","5,827.73","5,730.23","1.08M","-0.86%"
"04/10/2026","5,858.87","5,876.12","5,918.59","5,850.83","1.00M","1.40%"
"04/09/2026","5,778.01","5,826.45","5,862.41","5,757.49","1.03M","-1.61%"
"04/08/2026","5,872.34","5,804.70","5,919.60","5,774.00","932.60K","6.87%"
"04/07/2026","5,494.78","5,552.19","5,594.90","5,424.46","990.40K","0.82%"
"04/06/2026","5,450.33","5,423.35","5,505.61","5,404.91","1.11M","1.36%"
"04/03/2026","5,377.30","5,375.50","5,419.45","5,316.42","1.19M","2.74%"
"04/02/2026","5,234.05","5,551.69","5,574.62","5,170.27","1.43M","-4.47%"
"04/01/2026","5,478.70","5,330.04","5,512.33","5,272.45","959.00K","8.44%"
"03/31/2026","5,052.46","5,143.75","5,233.99","5,042.99","1.16M","-4.26%"
"03/30/2026","5,277.30","5,181.80","5,297.35","5,151.22","727.40K","-2.97%"
"03/27/2026","5,438.87","5,300.61","5,462.51","5,220.10","900.10K","-0.40%"
"03/26/2026","5,460.46","5,594.06","5,598.37","5,448.12","925.10K","-3.22%"
"03/25/2026","5,642.21","5,680.33","5,740.97","5,630.07","763.20K","1.59%"
"03/24/2026","5,553.92","5,638.20","5,643.00","5,395.17","1.17M","2.74%"
"03/23/2026","5,405.75","5,580.15","5,580.15","5,397.94","1.13M","-6.49%"
"03/20/2026","5,781.20","5,813.35","5,833.68","5,764.64","1.49M","0.31%"
"03/19/2026","5,763.22","5,761.40","5,863.39","5,738.95","1.18M","-2.73%"
"03/18/2026","5,925.03","5,767.10","5,934.35","5,766.14","1.14M","5.04%"
"03/17/2026","5,640.48","5,711.80","5,717.13","5,632.86","1.14M","1.63%"
"03/16/2026","5,549.85","5,510.82","5,561.42","5,448.75","1.07M","1.14%"
"03/13/2026","5,487.24","5,412.39","5,537.59","5,392.52","907.70K","-1.72%"
"03/12/2026","5,583.25","5,567.65","5,629.07","5,527.47","801.30K","-0.48%"
"03/11/2026","5,609.95","5,658.72","5,746.36","5,559.69","1.05M","1.40%"
"03/10/2026","5,532.59","5,523.21","5,595.88","5,427.88","923.20K","5.35%"
"03/09/2026","5,251.87","5,265.37","5,327.42","5,096.16","1.03M","-5.96%"
"03/06/2026","5,584.87","5,491.02","5,609.98","5,381.27","1.22M","0.02%"
"03/05/2026","5,583.90","5,250.92","5,715.30","5,248.13","1.66M","9.63%"
"03/04/2026","5,093.54","5,592.59","5,672.12","5,059.45","1.64M","-12.06%"
"03/03/2026","5,791.91","6,165.15","6,180.45","5,791.65","1.23M","-7.24%"
"02/27/2026","6,244.13","6,197.49","6,347.41","6,153.87","1.17M","-1.00%"
"02/26/2026","6,307.27","6,121.03","6,313.27","6,107.41","1.41M","3.67%"
"02/25/2026","6,083.86","6,022.70","6,144.71","5,984.28","1.42M","1.91%"
"02/24/2026","5,969.64","5,853.48","5,969.64","5,775.61","1.60M","2.11%"
"02/23/2026","5,846.09","5,903.11","5,931.86","5,792.57","1.48M","0.65%"
"02/20/2026","5,808.53","5,696.89","5,809.91","5,684.58","1.75M","2.31%"
"02/19/2026","5,677.25","5,642.09","5,681.65","5,614.97","1.19M","3.09%"
"02/13/2026","5,507.01","5,513.71","5,583.74","5,480.92","1.29M","-0.28%"
"02/12/2026","5,522.27","5,425.39","5,522.27","5,399.52","750.60K","3.13%"
"02/11/2026","5,354.49","5,293.75","5,374.23","5,257.53","753.80K","1.00%"
"02/10/2026","5,301.69","5,350.21","5,363.62","5,286.67","712.30K","0.07%"
"02/09/2026","5,298.04","5,299.10","5,322.35","5,265.08","617.70K","4.10%"
"02/06/2026","5,089.14","5,013.15","5,120.77","4,899.30","745.80K","-1.44%"
"02/05/2026","5,163.57","5,251.03","5,304.40","5,142.20","911.90K","-3.86%"
"02/04/2026","5,371.10","5,260.71","5,376.92","5,243.11","789.90K","1.57%"
"02/03/2026","5,288.08","5,114.81","5,288.08","5,101.31","672.60K","6.84%"
"02/02/2026","4,949.67","5,122.62","5,196.71","4,933.58","572.50K","-5.26%"
"01/30/2026","5,224.36","5,210.35","5,321.68","5,199.78","862.50K","0.06%"
"01/29/2026","5,221.25","5,243.42","5,252.61","5,073.12","699.70K","0.98%"
"01/28/2026","5,170.81","5,145.39","5,183.44","5,124.80","593.10K","1.69%"
"01/27/2026","5,084.85","4,932.89","5,084.85","4,890.72","476.20K","2.73%"
"01/26/2026","4,949.59","4,997.54","5,023.76","4,940.78","446.90K","-0.81%"
"01/23/2026","4,990.07","4,984.08","5,021.13","4,926.22","612.60K","0.76%"
"01/22/2026","4,952.53","4,987.06","5,019.54","4,934.17","568.60K","0.87%"
"01/21/2026","4,909.93","4,808.94","4,910.54","4,807.13","600.10K","0.49%"
"01/20/2026","4,885.75","4,900.28","4,935.48","4,823.88","667.70K","-0.39%"
"01/19/2026","4,904.66","4,829.40","4,917.37","4,827.95","570.80K","1.32%"
"01/16/2026","4,840.74","4,820.66","4,855.61","4,797.75","720.90K","0.90%"
"01/15/2026","4,797.55","4,710.28","4,797.55","4,705.44","545.20K","1.58%"
"01/14/2026","4,723.10","4,685.11","4,723.10","4,669.32","550.40K","0.65%"
"01/13/2026","4,692.64","4,662.44","4,693.07","4,641.58","429.20K","1.47%"
"01/12/2026","4,624.79","4,639.89","4,652.54","4,567.55","394.80K","0.84%"
"01/09/2026","4,586.32","4,530.03","4,590.03","4,500.48","399.20K","0.75%"
"01/08/2026","4,552.37","4,531.46","4,622.32","4,527.50","440.10K","0.03%"
"01/07/2026","4,551.06","4,566.34","4,611.72","4,488.20","553.70K","0.57%"
"01/06/2026","4,525.48","4,446.08","4,525.48","4,395.00","498.40K","1.52%"
"01/05/2026","4,457.52","4,385.92","4,457.52","4,381.93","513.90K","3.43%"
"01/02/2026","4,309.63","4,224.53","4,313.55","4,216.68","406.30K","2.27%"
"12/30/2025","4,214.17","4,193.75","4,226.36","4,186.95","408.20K","-0.15%"
"12/29/2025","4,220.56","4,146.48","4,220.56","4,146.48","502.40K","2.20%"
"12/26/2025","4,129.68","4,130.37","4,143.14","4,116.53","510.20K","0.51%"
"12/24/2025","4,108.62","4,136.24","4,137.20","4,106.62","363.60K","-0.21%"
"12/23/2025","4,117.32","4,127.40","4,140.84","4,110.25","385.80K","0.28%"
"12/22/2025","4,105.93","4,096.26","4,105.93","4,083.13","315.60K","2.12%"
"12/19/2025","4,020.55","4,055.78","4,055.78","3,997.05","442.70K","0.65%"
"12/18/2025","3,994.51","3,989.60","4,030.65","3,975.50","581.40K","-1.53%"
"12/17/2025","4,056.41","4,019.43","4,060.24","3,994.65","361.00K","1.43%"
"12/16/2025","3,999.13","4,093.32","4,099.01","3,996.23","374.00K","-2.24%"
"12/15/2025","4,090.59","4,053.74","4,123.19","4,052.65","346.80K","-1.84%"
"12/12/2025","4,167.16","4,123.83","4,168.17","4,120.73","426.60K","1.38%"
"12/11/2025","4,110.62","4,163.32","4,170.77","4,103.20","539.80K","-0.59%"
"12/10/2025","4,135.00","4,159.05","4,172.64","4,123.60","317.90K","-0.21%"
"12/09/2025","4,143.55","4,129.77","4,152.18","4,121.21","400.60K","-0.27%"
"12/08/2025","4,154.85","4,109.25","4,154.85","4,081.26","395.60K","1.34%"
"12/05/2025","4,100.05","4,023.50","4,100.05","4,003.29","478.50K","1.78%"
"12/04/2025","4,028.51","4,018.91","4,028.53","3,982.54","352.00K","-0.19%"
"12/03/2025","4,036.30","4,010.26","4,052.83","3,987.76","290.90K","1.04%"
"12/02/2025","3,994.93","3,939.09","3,994.93","3,935.14","319.00K","1.90%"
"12/01/2025","3,920.37","3,967.92","3,977.31","3,892.08","296.90K","-0.16%"
"11/28/2025","3,926.59","3,995.30","3,995.30","3,921.89","241.90K","-1.51%"
"11/27/2025","3,986.91","3,989.45","4,023.42","3,968.43","257.90K","0.66%"
"11/26/2025","3,960.87","3,891.88","3,960.87","3,866.66","295.30K","2.67%"
"11/25/2025","3,857.78","3,942.36","3,946.61","3,833.35","279.30K","0.30%"
"11/24/2025","3,846.06","3,915.16","3,917.16","3,838.20","373.10K","-0.19%"
"11/21/2025","3,853.26","3,908.70","3,911.55","3,838.46","319.30K","-3.79%"
"11/20/2025","4,004.85","4,030.97","4,059.37","4,001.31","360.30K","1.92%"
"11/19/2025","3,929.51","3,966.64","3,966.64","3,854.95","338.20K","-0.61%"
"11/18/2025","3,953.62","4,044.47","4,072.41","3,953.26","319.70K","-3.32%"
"11/17/2025","4,089.25","4,078.57","4,089.88","4,045.40","344.10K","1.94%"
"11/14/2025","4,011.57","4,061.91","4,092.76","4,011.40","400.00K","-3.81%"
"11/13/2025","4,170.63","4,127.57","4,188.54","4,123.84","424.20K","0.49%"
"11/12/2025","4,150.39","4,097.44","4,154.62","4,088.86","334.60K","1.07%"
"11/11/2025","4,106.39","4,124.30","4,187.46","4,066.58","377.60K","0.81%"
"11/10/2025","4,073.24","3,991.87","4,092.91","3,984.24","339.50K","3.02%"
"11/07/2025","3,953.76","3,963.72","4,037.61","3,887.32","377.10K","-1.81%"
"11/06/2025","4,026.45","4,092.46","4,111.96","3,985.29","423.40K","0.55%"
"11/05/2025","4,004.42","4,055.47","4,055.47","3,867.81","594.20K","-2.85%"
